title,artist
Blue Bell,Blue Bell
Meet Me in St Louis,Meet Me in St Louis
Sweet Adeline (You're the Flower of My Heart),Sweet Adeline (You're the Flower of My Heart)
Amor Perdido,Amor Perdido
Blue Bell,Blue Bell
Alexander,Alexander
Navajo,Navajo
I Can't Do My Bally Bottom Button Up,I Can't Do My Bally Bottom Button Up
All Aboard for Dreamland,All Aboard for Dreamland
Aida - Celeste Aida,Aida - Celeste Aida
Evening Time at the Pumpkin Center,Evening Time at the Pumpkin Center
Sweet Adeline (You're the Flower of My Heart),Sweet Adeline (You're the Flower of My Heart)
I've Got a Feelin' for You,I've Got a Feelin' for You
Meet Me in St Louis,Meet Me in St Louis
Primeiro Amor,Primeiro Amor
Come Take a Trip in My Air-Ship,Come Take a Trip in My Air-Ship
Teasing (I was Only Teasing You),Teasing (I was Only Teasing You)
Under the Anheuser Bush,Under the Anheuser Bush
 Dear Old Girl,Dear Old Girl
Under the Anheuser Bush,Under the Anheuser Bush
My Heart's At Your Feet,My Heart's At Your Feet
Bedelia,Bedelia
Poor Wand'ring One,Poor Wand'ring One
The Woodchuck Song,The Woodchuck Song
"I May be Crazy, But I Ain't No Fool","I May be Crazy, But I Ain't No Fool"
My Little Canoe,My Little Canoe
Navajo,Navajo
Bedelia,Bedelia
Teasin',Teasin'
Razzle Dazzle,Razzle Dazzle
Meet Me in St Louis,Meet Me in St Louis
Listen to the Mocking Bird,Listen to the Mocking Bird
Navajo,Navajo
"Good-Bye, My Lady Love","Good-Bye, My Lady Love"
Give My Regards to Broadway,Give My Regards to Broadway
Vesti La Giubba (On With The Play),Vesti La Giubba (On With The Play)
Yankee Doodle (Song),Yankee Doodle (Song)
In My Merry Oldsmobile,In My Merry Oldsmobile
The Preacher & the Bear,The Preacher & the Bear
Come Take a Trip in My Air-Ship,Come Take a Trip in My Air-Ship
In the Shade of the Old Apple Tree,In the Shade of the Old Apple Tree
The Pipes of Pan,The Pipes of Pan
Fantasias ao Luar,Fantasias ao Luar
Everybody Works but Father,Everybody Works but Father
Where the Morning Glories Twine Around the Door,Where the Morning Glories Twine Around the Door
Dearie,Dearie
The Day That You Grew Colder,The Day That You Grew Colder
Cavalleria Rusticanna - Brindisi (Drinking Song),Cavalleria Rusticanna - Brindisi (Drinking Song)
Toreador's Song,Toreador's Song
Cigarette,Cigarette
Would You Care?,Would You Care?
In the Shade of the Old Apple Tree,In the Shade of the Old Apple Tree
Tammany,Tammany
In the Shade of the Old Apple Tree,In the Shade of the Old Apple Tree
Nobody,Nobody
My Little Canoe,My Little Canoe
In the Shadow of the Pyramid,In the Shadow of the Pyramid
What You Goin' to Do When De Rent Comes 'Round?,What You Goin' to Do When De Rent Comes 'Round?
Coax Me,Coax Me
"Silent Night, Holy Night","Silent Night, Holy Night"
Itarare,Itarare
You & I,You & I
Talento & Formosura,Talento & Formosura
If Those Lips could Only Speak,If Those Lips could Only Speak
La Mattchiche,La Mattchiche
My Irish Molly-O,My Irish Molly-O
Sweet Thoughts of Home,Sweet Thoughts of Home
Coax Me Medley,Coax Me Medley
Tell Me with Your Eyes,Tell Me with Your Eyes
My Carolina Lady,My Carolina Lady
In Dear Old Georgia,In Dear Old Georgia
St Louis Rag,St Louis Rag
Tell Me with Your Eyes,Tell Me with Your Eyes
America,America
Nobody,Nobody
The Grand Old Rag,The Grand Old Rag
Stop Your Tickling Jock,Stop Your Tickling Jock
Casey at the Bat,Casey at the Bat
Let it Alone,Let it Alone
"So Long, Mary","So Long, Mary"
"Wait Till the Sun Shines, Nellie","Wait Till the Sun Shines, Nellie"
Clelia (Ao Desfraldar da Vela),Clelia (Ao Desfraldar da Vela)
La Forza Del Destino - Solenne in Quest' Ora,La Forza Del Destino - Solenne in Quest' Ora
"Wait Till the Sun Shines, Nellie","Wait Till the Sun Shines, Nellie"
Love Me & the World is Mine,Love Me & the World is Mine
Love Me & the World is Mine,Love Me & the World is Mine
Camp Meetin' Time,Camp Meetin' Time
How'd You Like to Spoon with Me?,How'd You Like to Spoon with Me?
The Good Old USA,The Good Old USA
Home Sweet Home,Home Sweet Home
Here it Comes Again,Here it Comes Again
Give My Regards to Leicester Square,Give My Regards to Leicester Square
Tres Estrelinhas (O Que Tu es),Tres Estrelinhas (O Que Tu es)
Daddy's Little Girl,Daddy's Little Girl
Forza Del Destino - Solenne in Quest 'Ora (Swear in This Hour),Forza Del Destino - Solenne in Quest 'Ora (Swear in This Hour)
"So Long, Mary","So Long, Mary"
College Life,College Life
Keep on the Sunny Side,Keep on the Sunny Side
"Good Night, Little Girl, Good Night","Good Night, Little Girl, Good Night"
On the Rocky Road to Dublin,On the Rocky Road to Dublin
Cheyenne (Shy Ann),Cheyenne (Shy Ann)
Will You Love Me in December as You Do in May?,Will You Love Me in December as You Do in May?
Waiting at the Church (My Wife Won't Let Me),Waiting at the Church (My Wife Won't Let Me)
Waltz Me Round Again,Waltz Me Round Again
Perdao Emilia,Perdao Emilia
Por Um Beijo,Por Um Beijo
I Want What I Want When I Want It,I Want What I Want When I Want It
"Good-Bye, Sweetheart, Good-Bye","Good-Bye, Sweetheart, Good-Bye"
There Never was a Girl Like You,There Never was a Girl Like You
Peaches 'n' Cream,Peaches 'n' Cream
St Louis Tickle,St Louis Tickle
I Want What I Want When I Want It,I Want What I Want When I Want It
In Dear Old Georgia,In Dear Old Georgia
Vesti La Giubba (On With The Play) (1907),Vesti La Giubba (On With The Play) (1907)
Auld Lang Syne,Auld Lang Syne
Because You're You,Because You're You
He's a Cousin of Mine,He's a Cousin of Mine
My Gal Sal,My Gal Sal
My Dear,My Dear
Minas Gerais,Minas Gerais
I Do Like to Be Beside The Seaside,I Do Like to Be Beside The Seaside
I Just Can't Make My Eyes Behave,I Just Can't Make My Eyes Behave
School Days (When We Were a Couple of Kids),School Days (When We Were a Couple of Kids)
Harrigan,Harrigan
Let's Take an Old-Fashioned Walk,Let's Take an Old-Fashioned Walk
Nobody's Little girl,Nobody's Little girl
Rigoletto - E Il Sol Dell Prima (Love is the Sun),Rigoletto - E Il Sol Dell Prima (Love is the Sun)
Madama Butterfly: Tutti I Fior (Duet of the Flowers),Madama Butterfly: Tutti I Fior (Duet of the Flowers)
I Know a Lovely Garden,I Know a Lovely Garden
Wedding of Uncle Josh & Aunt Nancy,Wedding of Uncle Josh & Aunt Nancy
No Wedding Bells for Me,No Wedding Bells for Me
Merry Widow Waltz,Merry Widow Waltz
Take Me Around Again,Take Me Around Again
I Love a Lassie (My Scotch Bluebell),I Love a Lassie (My Scotch Bluebell)
Red Wing (An Indian Fable),Red Wing (An Indian Fable)
Maple Leaf Rag,Maple Leaf Rag
My Wild Irish Rose,My Wild Irish Rose
He Goes to Church on Sunday,He Goes to Church on Sunday
My Irish Rosie,My Irish Rosie
Take Me Back to New York Town,Take Me Back to New York Town
Honey Boy,Honey Boy
In the Wildwood Where the Blue Bells Grew,In the Wildwood Where the Blue Bells Grew
Whistle It,Whistle It
San Francisco Bay,San Francisco Bay
By The Side of The Zuyder Zee,By The Side of The Zuyder Zee
Rose in The Bud,Rose in The Bud
If the Man in the Moon Were a Coon,If the Man in the Moon Were a Coon
It's Nice to Have a Sweetheart,It's Nice to Have a Sweetheart
The Tale The Church Bell Tolled,The Tale The Church Bell Tolled
The Game of Peek-a-Boo (I'd Like to See a Little More of You),The Game of Peek-a-Boo (I'd Like to See a Little More of You)
The Bird on Nellie's Hat,The Bird on Nellie's Hat
"If I'm Goin' to Die, I'm Goin' To Have Some Fun","If I'm Goin' to Die, I'm Goin' To Have Some Fun"
I've Such a Funny Feeling When I Look at You,I've Such a Funny Feeling When I Look at You
Take Me Out To The Ball Game,Take Me Out To The Ball Game
"No News, Or What Killed the Dog","No News, Or What Killed the Dog"
Take Me Out To The Ball Game,Take Me Out To The Ball Game
The Glow-Worm,The Glow-Worm
The Glow-Worm,The Glow-Worm
Are You Sincere?,Are You Sincere?
Adam & Eve,Adam & Eve
Os Namorados da Lua,Os Namorados da Lua
O Sole Mio,O Sole Mio
The Small Town Gal,The Small Town Gal
Under Any Old Flag at All,Under Any Old Flag at All
Cuddle Up a Little Closer,Cuddle Up a Little Closer
As Long as the World Rolls On,As Long as the World Rolls On
Sunbonnet Sue,Sunbonnet Sue
When We Are M-A-Double-R-I-E-D,When We Are M-A-Double-R-I-E-D
Wouldn't You Like to Have Me for a Sweetheart?,Wouldn't You Like to Have Me for a Sweetheart?
The Dusky Salome,The Dusky Salome
Madama Butterfly - Finale Act I: O Quantiocchi Fisi (O Kindly Heavens),Madama Butterfly - Finale Act I: O Quantiocchi Fisi (O Kindly Heavens)
Rigoletto - La Donna E' Mobile (Woman is Fickle),Rigoletto - La Donna E' Mobile (Woman is Fickle)
Il Trovatore - Ai Nostri Monti (Home to Our Mountains),Il Trovatore - Ai Nostri Monti (Home to Our Mountains)
"When You & I Were Young, Maggie","When You & I Were Young, Maggie"
O Que Tu es,O Que Tu es
Goodbye Molly Brown,Goodbye Molly Brown
My Gal Irene,My Gal Irene
She's the Fairest Little Flower Old Dixie Ever Grew,She's the Fairest Little Flower Old Dixie Ever Grew
Over the Hills & Far Away,Over the Hills & Far Away
Any Old Port in a Storm,Any Old Port in a Storm
As Long as the World Rolls On,As Long as the World Rolls On
I've Taken Quite a Fancy to You,I've Taken Quite a Fancy to You
Keep On Smiling,Keep On Smiling
Take Me Out To The Ball Game,Take Me Out To The Ball Game
Smarty,Smarty
Nini Peau D'chien,Nini Peau D'chien
Bolim Bolacho,Bolim Bolacho
There Never was a Girl Like You,There Never was a Girl Like You
Kiss Duet (Sweetest Maid of All),Kiss Duet (Sweetest Maid of All)
It Looks Like a Big Night To-Night,It Looks Like a Big Night To-Night
School Day,School Day
You Have Always Been the Same Old Pal,You Have Always Been the Same Old Pal
There's No Moon Like the Honeymoon,There's No Moon Like the Honeymoon
"Swing Low, Sweet Chariot","Swing Low, Sweet Chariot"
I've Got Rings on My Fingers,I've Got Rings on My Fingers
The Yama Yama Man,The Yama Yama Man
I Wonder Who's Kissing Her Now,I Wonder Who's Kissing Her Now
I've Got Rings on My Fingers,I've Got Rings on My Fingers
Put on Your Old Gray Bonnet,Put on Your Old Gray Bonnet
Moonstruck,Moonstruck
Choro & Poesia,Choro & Poesia
"Good Evening, Caroline","Good Evening, Caroline"
"Shine on, Harvest Moon","Shine on, Harvest Moon"
To the End of the World with You,To the End of the World with You
"Shine on, Harvest Moon","Shine on, Harvest Moon"
"The Right Church, but the Wrong Pew","The Right Church, but the Wrong Pew"
e Loucura Meu Anjo,e Loucura Meu Anjo
Yip-I-Addy-I-Ay,Yip-I-Addy-I-Ay
Down Among the Sugar Cane,Down Among the Sugar Cane
Beautiful Eyes,Beautiful Eyes
"I Love, I Love, I Love My Wife, but Oh You Kid!","I Love, I Love, I Love My Wife, but Oh You Kid!"
Pony Boy,Pony Boy
I Remember You,I Remember You
Honey On Our Honeymoon,Honey On Our Honeymoon
I Wish I Had A Girl,I Wish I Had A Girl
She is my Daisy,She is my Daisy
In the Garden of My Heart,In the Garden of My Heart
"Nobody Knows, Nobody Cares","Nobody Knows, Nobody Cares"
"Shine on, Harvest Moon","Shine on, Harvest Moon"
O Gondoleiro do Amor,O Gondoleiro do Amor
Bring Me a Rose,Bring Me a Rose
The Jocular Joker,The Jocular Joker
"Brown Eyes, Good-Bye","Brown Eyes, Good-Bye"
That Wasn't All!,That Wasn't All!
Pony Boy,Pony Boy
El Capitan March (new version),El Capitan March (new version)
I'm Awfully Glad I Met You,I'm Awfully Glad I Met You
Beautiful Isle of Somewhere,Beautiful Isle of Somewhere
"Up, Up, Up in My Aeroplane","Up, Up, Up in My Aeroplane"
When I Dream in the Gloaming of You,When I Dream in the Gloaming of You
That's a Plenty,That's a Plenty
Under the Double Eagle,Under the Double Eagle
"Dixie Land, I Love You","Dixie Land, I Love You"
Let Me Call You Sweetheart,Let Me Call You Sweetheart
America the Beautiful,America the Beautiful
By the Light of the Silvery Moon,By the Light of the Silvery Moon
Play That Barber-Shop Chord,Play That Barber-Shop Chord
Don't Go Down The Mine,Don't Go Down The Mine
Cancao do Marinheiro (Cisne Branco),Cancao do Marinheiro (Cisne Branco)
Has Anybody Here Seen Kelly?,Has Anybody Here Seen Kelly?
Carrie (Carrie Marry Harry),Carrie (Carrie Marry Harry)
Where the River Shannon Flows,Where the River Shannon Flows
Meet Me To-Night in Dreamland,Meet Me To-Night in Dreamland
Every Little Movement,Every Little Movement
 Call Me Up Some Rainy Afternoon,Call Me Up Some Rainy Afternoon
"Tramp, Tramp, Tramp (The Boys Are Marching)","Tramp, Tramp, Tramp (The Boys Are Marching)"
In the Valley of Yesterday,In the Valley of Yesterday
 Casey Jones,Casey Jones
Carmen - Air De La Fleur (Flower Song),Carmen - Air De La Fleur (Flower Song)
Humoresque Boogie,Humoresque Boogie
Ave Maria,Ave Maria
Il Trovatore - Miserere (I Have Sighed to Rest Me),Il Trovatore - Miserere (I Have Sighed to Rest Me)
"Contes D' Hoffman - Barcolle Belle Nuit (Oh, Night of Love)","Contes D' Hoffman - Barcolle Belle Nuit (Oh, Night of Love)"
I'll Lend You Everything I've Got Except My Wife,I'll Lend You Everything I've Got Except My Wife
Old Kentucky Home,Old Kentucky Home
Tony From America,Tony From America
Ao Luar,Ao Luar
Silver Bell,Silver Bell
That Mesmerizing Mendelssohn Tune,That Mesmerizing Mendelssohn Tune
My Hero,My Hero
I'll Make a Ring Around Rosie,I'll Make a Ring Around Rosie
By the Light of the Silvery Moon,By the Light of the Silvery Moon
It's Hard to Kiss Your Sweetheart (When the Last Kiss Means Good-Bye),It's Hard to Kiss Your Sweetheart (When the Last Kiss Means Good-Bye)
What's the Matter with Father?,What's the Matter with Father?
You Ain't Talking to Me,You Ain't Talking to Me
Constantly,Constantly
Play That Barber-Shop Chord,Play That Barber-Shop Chord
All I Ask Is Your Love,All I Ask Is Your Love
By the Light of the Silvery Moon,By the Light of the Silvery Moon
"Go, Emaline","Go, Emaline"
Ginger You're Barmy,Ginger You're Barmy
O Palida Madona,O Palida Madona
Molly O'Morgan,Molly O'Morgan
Some of These Days,Some of These Days
Alexander's ragtime band,Alexander's ragtime band
"Come, Josephine, in My Flying Machine","Come, Josephine, in My Flying Machine"
"I'm Shy Mary Ellen, I'm Shy","I'm Shy Mary Ellen, I'm Shy"
O Meu Boi Morreu,O Meu Boi Morreu
Turn Your Light Off Mister Moon Man,Turn Your Light Off Mister Moon Man
Let Me Stay & Live in Dixieland,Let Me Stay & Live in Dixieland
Put Your Arms Around Me Honey,Put Your Arms Around Me Honey
"Come, Josephine, in My Flying Machine","Come, Josephine, in My Flying Machine"
I'm Falling in Love with Someone,I'm Falling in Love with Someone
Down by the Old Mill Stream,Down by the Old Mill Stream
Oh You Beautiful Doll,Oh You Beautiful Doll
Mother Machree,Mother Machree
Under the Yum Yum Tree,Under the Yum Yum Tree
Mother Machree,Mother Machree
Down by the Old Mill Stream,Down by the Old Mill Stream
I Love The Name of Mary,I Love The Name of Mary
Addio (Good-Bye),Addio (Good-Bye)
"Life's a Funny Proposition, After All","Life's a Funny Proposition, After All"
The Photo of The Girl I Left Behind,The Photo of The Girl I Left Behind
Dor Suprema,Dor Suprema
I Want a Girl Just Like the Girl That Married Dear Old Dad,I Want a Girl Just Like the Girl That Married Dear Old Dad
Perfect Day,Perfect Day
Italian Street Song,Italian Street Song
Alexander's ragtime band,Alexander's ragtime band
Steamboat Bill,Steamboat Bill
I've Got Your Number,I've Got Your Number
"Woodman, Woodman, Spare That Tree","Woodman, Woodman, Spare That Tree"
I Want a Girl Just Like the Girl That Married Dear Old Dad,I Want a Girl Just Like the Girl That Married Dear Old Dad
All Alone,All Alone
It's Always June When You're in Love,It's Always June When You're in Love
Let Me Call You Sweetheart,Let Me Call You Sweetheart
Lua Branca,Lua Branca
For You Alone,For You Alone
Baiana dos Pasteis,Baiana dos Pasteis
Jimmy Valentine,Jimmy Valentine
I Love It!,I Love It!
My Beautiful Lady,My Beautiful Lady
Ciribiribin Waltz,Ciribiribin Waltz
That Was Before I Met You,That Was Before I Met You
That Haunting Melody,That Haunting Melody
Moonlight Bay,Moonlight Bay
Ragging the Baby to Sleep,Ragging the Baby to Sleep
Love is Mine,Love is Mine
"Come Down, Ma Ev'ning Star","Come Down, Ma Ev'ning Star"
O Forrobodo ,O Forrobodo
I'm Twenty-One Today,I'm Twenty-One Today
I Love You Truly,I Love You Truly
Till the Sands of the Desert Grow Cold,Till the Sands of the Desert Grow Cold
Be My Little Baby Bumble Bee,Be My Little Baby Bumble Bee
Waiting for the Robert E Lee,Waiting for the Robert E Lee
When You Were Sweet Sixteen,When You Were Sweet Sixteen
Everybody Two-Step,Everybody Two-Step
Ragtime Cowboy Joe,Ragtime Cowboy Joe
I Love The Name of Mary,I Love The Name of Mary
Canta Pe' Me (Neapolitan Song),Canta Pe' Me (Neapolitan Song)
The Maids of Cadiz (Les Filles De Cadiz),The Maids of Cadiz (Les Filles De Cadiz)
Who Were You With Last Night?,Who Were You With Last Night?
Amor Ingrato,Amor Ingrato
Dreams of Long Ago,Dreams of Long Ago
Everybody's Doing it Now,Everybody's Doing it Now
When Uncle Joe Plays a Rag on His Old Banjo,When Uncle Joe Plays a Rag on His Old Banjo
Gems from Naughty Marietta,Gems from Naughty Marietta
Ao Luar,Ao Luar
Look What Percy's Picked Up in The Park,Look What Percy's Picked Up in The Park
O Meu Ideal,O Meu Ideal
A Stein Song,A Stein Song
Oh! You Circus Day ,Oh! You Circus Day
Alexander's ragtime band,Alexander's ragtime band
Any Place the Old Flag Flies,Any Place the Old Flag Flies
The Lost Chord,The Lost Chord
Take Me Back to the Garden of Love,Take Me Back to the Garden of Love
Kentucky Days,Kentucky Days
Moonlight Bay,Moonlight Bay
The Harbor of Love,The Harbor of Love
Please Don't Take My Lovin' Man Away,Please Don't Take My Lovin' Man Away
The Gaby Glide,The Gaby Glide
"I'm Afraid, Pretty Maid, I'm Afraid","I'm Afraid, Pretty Maid, I'm Afraid"
Waiting for the Robert E Lee,Waiting for the Robert E Lee
When I was Twenty-one & You Were Sweet Sixteen,When I was Twenty-one & You Were Sweet Sixteen
When Irish Eyes Are Smiling,When Irish Eyes Are Smiling
Peg o' My Heart,Peg o' My Heart
The Spaniard Who Blighted My Life,The Spaniard Who Blighted My Life
When I Lost You,When I Lost You
Caboca di Caxanga,Caboca di Caxanga
Row! Row! Row!,Row! Row! Row!
The Trail of the Lonesome Pine,The Trail of the Lonesome Pine
Last Night Was the End of the World,Last Night Was the End of the World
Too-Ra-Loo-Ra-Loo-Ra,Too-Ra-Loo-Ra-Loo-Ra
Sympathy,Sympathy
When the Midnight Choo-Choo Leaves for Alabam',When the Midnight Choo-Choo Leaves for Alabam'
You Made Me Love You (I Didn't Want to Do It),You Made Me Love You (I Didn't Want to Do It)
Ghost of the Violin,Ghost of the Violin
Ave Maria,Ave Maria
Lingua de Preto,Lingua de Preto
It's Nicer to Be in Bed,It's Nicer to Be in Bed
The Curse of an Aching Heart,The Curse of an Aching Heart
When I Lost You,When I Lost You
That Old Girl of Mine,That Old Girl of Mine
"In the Evening by the Moonlight, Dear Louise","In the Evening by the Moonlight, Dear Louise"
Melinda's Wedding Day,Melinda's Wedding Day
There's a Girl in the Heart of Maryland,There's a Girl in the Heart of Maryland
Sweethearts,Sweethearts
Sailing Down the Chesapeake Bay,Sailing Down the Chesapeake Bay
"Woodman, Woodman, Spare That Tree","Woodman, Woodman, Spare That Tree"
The Ghost of the Violin,The Ghost of the Violin
Bagdad,Bagdad
